ingredient_key,ingredient_id,ingredient_name,ingredient_zh_name,ingredient_tags,recipe_id,recipe_key,recipe_name,recipe_zh_name,character_required,priority,foodtype,health,hunger,sanity,cooktime,recipe_requirement_text,example_combo_keys,example_combo_names,example_combo_zh_names,direct_required_ingredient_ids,result_scope
asparagus@together,asparagus,Asparagus,蘆筍,veggie=1,dustmeringue,dustmeringue,Amberosia,琥珀美食,,100,,0,0,,2,塵土塊 >= 1,asparagus@together + asparagus@together + asparagus@together + refined_dust,Asparagus + Asparagus + Asparagus + Collected Dust,蘆筍 + 蘆筍 + 蘆筍 + 塵土塊,refined_dust,standard
asparagus@together,asparagus,Asparagus,蘆筍,veggie=1,asparagussoup_dst,asparagussoup_dst,Asparagus Soup,蘆筍湯,,10,veggie,20,18.75,5,0.5,蘆筍 >= 1、蔬菜係數 > 2、不可放 肉類係數、不可放 不可食用,asparagus@together + asparagus@together + asparagus@together + asparagus@together,Asparagus + Asparagus + Asparagus + Asparagus,蘆筍 + 蘆筍 + 蘆筍 + 蘆筍,asparagus | asparagus_cooked,standard
asparagus@together,asparagus,Asparagus,蘆筍,veggie=1,bananapop_dst,bananapop_dst,Banana Pop,香蕉冰棒,,20,veggie,20,12.5,33,0.5,香蕉 >= 1、冰凍係數 > 0、樹枝 >= 1、不可放 肉類係數、不可放 魚類係數,asparagus@together + cave_banana@together + ice@together + twigs@together,Asparagus + Banana + Ice + Twigs,蘆筍 + 香蕉 + 冰 + 樹枝,cave_banana | cave_banana_cooked | twigs,standard
asparagus@together,asparagus,Asparagus,蘆筍,veggie=1,bananajuice,bananajuice,Banana Shake,香蕉奶昔,,1,veggie,8,25,33,0.5,香蕉 >= 2、不可放 肉類係數、不可放 魚類係數、不可放 怪物係數,asparagus@together + asparagus@together + cave_banana@together + cave_banana@together,Asparagus + Asparagus + Banana + Banana,蘆筍 + 蘆筍 + 香蕉 + 香蕉,cave_banana | cave_banana_cooked,standard
asparagus@together,asparagus,Asparagus,蘆筍,veggie=1,barnaclinguine,barnaclinguine,Barnacle Linguine,藤壺義大利麵,,30,meat,10,75,20,2,藤壺 >= 2、蔬菜係數 >= 2,asparagus@together + asparagus@together + barnacle + barnacle,Asparagus + Asparagus + Barnacles + Barnacles,蘆筍 + 蘆筍 + 藤壺 + 藤壺,barnacle | barnacle_cooked,standard
asparagus@together,asparagus,Asparagus,蘆筍,veggie=1,barnaclesushi,barnaclesushi,Barnacle Nigiri,藤壺握壽司,,30,meat,40,37.5,5,0.5,藤壺 >= 1、海帶葉 >= 1、蛋類係數 >= 1,asparagus@together + barnacle + bird_egg_cooked@together + kelp_cooked,Asparagus + Barnacles + Cooked Egg + Cooked Kelp Fronds,蘆筍 + 藤壺 + 熟蛋 + 熟海帶葉,barnacle | barnacle_cooked | kelp | kelp_cooked | kelp_dried,standard
asparagus@together,asparagus,Asparagus,蘆筍,veggie=1,barnaclepita,barnaclepita,Barnacle Pita,藤壺皮塔餅,,25,meat,20,37.5,5,2,藤壺 >= 1、蔬菜係數 >= 0.5,asparagus@together + asparagus@together + asparagus@together + barnacle,Asparagus + Asparagus + Asparagus + Barnacles,蘆筍 + 蘆筍 + 蘆筍 + 藤壺,barnacle | barnacle_cooked,standard
asparagus@together,asparagus,Asparagus,蘆筍,veggie=1,beefalotreat,beefalotreat,Beefalo Treats,皮弗婁牛零食,,-4,roughage,75,25,0,2,不可食用 > 0、種子係數 > 0、必忘我 >= 1、不可放 怪物係數、不可放 肉類係數、不可放 魚類係數、不可放 蛋類係數、不可放 油脂係數、不可放 乳製係數、不可放 魔法係數,asparagus@together + acorn@together + boneshard + forgetmelots,Asparagus + Birchnut + Bone Shards + Forget-Me-Lots,蘆筍 + 樺栗果 + 骨頭碎片 + 必忘我,forgetmelots,standard
asparagus@together,asparagus,Asparagus,蘆筍,veggie=1,meatysalad,meatysalad,Beefy Greens,牛肉青蔬,,25,meat,40,75,5,2,葉肉 >= 1、蔬菜係數 >= 3,asparagus@together + asparagus@together + asparagus@together + plantmeat_cooked@together,Asparagus + Asparagus + Asparagus + Cooked Leafy Meat,蘆筍 + 蘆筍 + 蘆筍 + 熟葉肉,plantmeat | plantmeat_cooked,standard
asparagus@together,asparagus,Asparagus,蘆筍,veggie=1,veggieomlet,veggieomlet,Breakfast Skillet,早餐鍋,,1,meat,20,37.5,5,1,蛋類係數 >= 1、蔬菜係數 >= 1、不可放 肉類係數、不可放 乳製係數,asparagus@together + asparagus@together + cave_banana@together + bird_egg_cooked@together,Asparagus + Asparagus + Banana + Cooked Egg,蘆筍 + 蘆筍 + 香蕉 + 熟蛋,,standard
